#chrom	strand	txStart	txEnd	proteinID	alignID
chr1	-	3195984	3205713		uc007aet.1
chr1	-	3204562	3661579	Q5GH67	uc007aeu.1
chr1	-	3638391	3648985		uc007aev.1
chr1	-	4280926	4399322	NP_001182591	uc007aew.1
chr1	-	4333587	4350395	Q548Q8	uc007aex.2
chr1	-	4481008	4483816	Q61473	uc007aey.1
chr1	-	4481008	4486494	Q61473	uc007aez.1
chr1	-	4481008	4486494	Q61473	uc007afa.1
chr1	-	4481008	4486494	Q61473-2	uc007afb.1
chr1	-	4481008	4486494	Q61473	uc007afc.1
chr1	-	4763278	4775807	Q9CPR5	uc007aff.2
chr1	-	4763278	4775807	Q9CPR5-2	uc007afd.2
chr1	-	4763278	4775807		uc007afe.2
chr1	+	4797973	4832908	P97823-2	uc007afg.1
chr1	+	4797973	4836816	P97823	uc007afh.1
chr1	+	4847774	4887990	Q3UWX7	uc007afi.2
chr1	+	4847774	4887990	NP_001153222	uc011wht.1
chr1	+	4848408	4887990	NP_001153223	uc011whu.1
chr1	-	4899656	5009507	Q9QZB1	uc007afk.2
chr1	-	4899656	5060366	NP_001171266	uc007afl.2
chr1	+	5073253	5089858	Q3U9S9	uc007afm.1
chr1	+	5073253	5152630	Q8BVE3	uc007afn.1
chr1	-	5159376	5159402		uc011whv.1
chr1	+	5578573	5592947	Q14AL5	uc007afo.1
chr1	+	5578573	5592947	Q14AL5	uc007afp.1
chr1	+	5586598	5592947	Q14AL5	uc007afq.1
chr1	-	5903787	5907479	P49681	uc011whw.1
chr1	+	6204742	6266185	NP_033956	uc007afr.2
chr1	+	6224309	6266185	Q8CHH8	uc011whx.1
chr1	+	6231050	6240248	Q8CHH8	uc007afs.1
chr1	+	6252914	6266185		uc007aft.2
chr1	+	6260758	6266185		uc007afu.2
chr1	+	6349411	6384812	NP_001182661	uc007afv.2
chr1	+	6477311	6851021	Q148A0	uc007afw.1
chr1	+	6477311	6851021	Q148A0	uc007afx.1
chr1	+	6720131	6851021	Q148A0	uc007afy.1
chr1	+	6720131	6851021	Q148A0	uc007afz.1
chr1	+	6720131	6851021	Q148A0	uc007aga.1
chr1	+	7079000	7163709	Q3TGS5	uc007agb.1
chr1	+	7079000	7163709	Q3TSP0	uc007agc.1
chr1	+	7079000	7163709	D3Z0C8	uc011why.1
